id,severidad,modulo,tipo,estado,dia_detectado,dia_resuelto,descripcion,prioridad
DEF-0001,medio,busqueda,funcional,abierto,2,,Defecto en busqueda - funcional,3
DEF-0002,bajo,reservas,funcional,abierto,5,,Defecto en reservas - funcional,2
DEF-0003,bajo,usuarios,funcional,resuelto,2,3.0,Defecto en usuarios - funcional,2
DEF-0004,medio,sesiones,usabilidad,resuelto,2,5.0,Defecto en sesiones - usabilidad,3
DEF-0005,alto,sesiones,seguridad,resuelto,5,5.0,Defecto en sesiones - seguridad,4
DEF-0006,alto,busqueda,ui,resuelto,3,5.0,Defecto en busqueda - ui,4
DEF-0007,alto,reservas,ui,en_progreso,1,,Defecto en reservas - ui,4
DEF-0008,bajo,busqueda,seguridad,resuelto,3,5.0,Defecto en busqueda - seguridad,2
DEF-0009,bajo,pagos,funcional,abierto,4,,Defecto en pagos - funcional,2
DEF-0010,bajo,busqueda,usabilidad,resuelto,5,5.0,Defecto en busqueda - usabilidad,2
DEF-0011,critico,sesiones,ui,resuelto,1,4.0,Defecto en sesiones - ui,5
DEF-0012,bajo,reservas,rendimiento,abierto,1,,Defecto en reservas - rendimiento,2
DEF-0013,bajo,usuarios,rendimiento,en_progreso,2,,Defecto en usuarios - rendimiento,2
DEF-0014,medio,pagos,rendimiento,resuelto,3,5.0,Defecto en pagos - rendimiento,3
DEF-0015,alto,busqueda,usabilidad,resuelto,5,5.0,Defecto en busqueda - usabilidad,4
DEF-0016,alto,reservas,ui,resuelto,3,5.0,Defecto en reservas - ui,4
DEF-0017,medio,sesiones,ui,abierto,2,,Defecto en sesiones - ui,3
DEF-0018,medio,busqueda,rendimiento,resuelto,1,2.0,Defecto en busqueda - rendimiento,3
DEF-0019,medio,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,3
DEF-0020,medio,usuarios,ui,resuelto,2,5.0,Defecto en usuarios - ui,3
DEF-0021,bajo,sesiones,usabilidad,resuelto,5,5.0,Defecto en sesiones - usabilidad,2
DEF-0022,alto,sesiones,seguridad,resuelto,2,5.0,Defecto en sesiones - seguridad,4
DEF-0023,medio,usuarios,funcional,abierto,2,,Defecto en usuarios - funcional,3
DEF-0024,medio,reservas,seguridad,en_progreso,4,,Defecto en reservas - seguridad,3
DEF-0025,medio,sesiones,seguridad,abierto,1,,Defecto en sesiones - seguridad,3
DEF-0026,bajo,sesiones,rendimiento,en_progreso,1,,Defecto en sesiones - rendimiento,2
DEF-0027,alto,pagos,seguridad,resuelto,1,4.0,Defecto en pagos - seguridad,4
DEF-0028,medio,pagos,usabilidad,abierto,3,,Defecto en pagos - usabilidad,3
DEF-0029,medio,sesiones,usabilidad,resuelto,3,4.0,Defecto en sesiones - usabilidad,3
DEF-0030,critico,sesiones,usabilidad,en_progreso,4,,Defecto en sesiones - usabilidad,5
DEF-0031,bajo,busqueda,funcional,en_progreso,2,,Defecto en busqueda - funcional,2
DEF-0032,alto,busqueda,ui,abierto,1,,Defecto en busqueda - ui,4
DEF-0033,alto,usuarios,funcional,abierto,2,,Defecto en usuarios - funcional,4
DEF-0034,bajo,usuarios,usabilidad,resuelto,5,5.0,Defecto en usuarios - usabilidad,2
DEF-0035,bajo,usuarios,ui,abierto,3,,Defecto en usuarios - ui,2
DEF-0036,bajo,usuarios,rendimiento,en_progreso,1,,Defecto en usuarios - rendimiento,2
DEF-0037,medio,reservas,ui,resuelto,1,4.0,Defecto en reservas - ui,3
DEF-0038,alto,sesiones,ui,resuelto,1,2.0,Defecto en sesiones - ui,4
DEF-0039,bajo,busqueda,ui,resuelto,1,3.0,Defecto en busqueda - ui,2
DEF-0040,medio,busqueda,usabilidad,resuelto,4,5.0,Defecto en busqueda - usabilidad,3
DEF-0041,alto,sesiones,ui,en_progreso,2,,Defecto en sesiones - ui,4
DEF-0042,medio,usuarios,seguridad,resuelto,1,4.0,Defecto en usuarios - seguridad,3
DEF-0043,critico,usuarios,rendimiento,resuelto,4,5.0,Defecto en usuarios - rendimiento,5
DEF-0044,bajo,busqueda,funcional,resuelto,3,4.0,Defecto en busqueda - funcional,2
DEF-0045,medio,reservas,ui,resuelto,4,5.0,Defecto en reservas - ui,3
DEF-0046,bajo,usuarios,ui,resuelto,2,3.0,Defecto en usuarios - ui,2
DEF-0047,medio,usuarios,usabilidad,resuelto,5,5.0,Defecto en usuarios - usabilidad,3
DEF-0048,medio,busqueda,ui,resuelto,4,5.0,Defecto en busqueda - ui,3
DEF-0049,medio,reservas,seguridad,abierto,4,,Defecto en reservas - seguridad,3
DEF-0050,alto,busqueda,seguridad,resuelto,4,5.0,Defecto en busqueda - seguridad,4
DEF-0051,bajo,usuarios,usabilidad,en_progreso,2,,Defecto en usuarios - usabilidad,2
DEF-0052,bajo,reservas,rendimiento,resuelto,1,4.0,Defecto en reservas - rendimiento,2
DEF-0053,bajo,sesiones,funcional,abierto,1,,Defecto en sesiones - funcional,2
DEF-0054,bajo,sesiones,seguridad,abierto,1,,Defecto en sesiones - seguridad,2
DEF-0055,medio,sesiones,funcional,abierto,5,,Defecto en sesiones - funcional,3
DEF-0056,bajo,busqueda,ui,abierto,5,,Defecto en busqueda - ui,2
DEF-0057,alto,sesiones,funcional,resuelto,4,5.0,Defecto en sesiones - funcional,4
DEF-0058,alto,sesiones,usabilidad,resuelto,3,4.0,Defecto en sesiones - usabilidad,4
DEF-0059,critico,pagos,ui,resuelto,2,5.0,Defecto en pagos - ui,5
DEF-0060,medio,pagos,seguridad,resuelto,1,2.0,Defecto en pagos - seguridad,3
DEF-0061,medio,usuarios,usabilidad,abierto,1,,Defecto en usuarios - usabilidad,3
DEF-0062,medio,sesiones,ui,abierto,3,,Defecto en sesiones - ui,3
DEF-0063,bajo,busqueda,ui,abierto,4,,Defecto en busqueda - ui,2
DEF-0064,medio,sesiones,rendimiento,abierto,5,,Defecto en sesiones - rendimiento,3
DEF-0065,medio,pagos,funcional,abierto,3,,Defecto en pagos - funcional,3
DEF-0066,medio,busqueda,funcional,abierto,3,,Defecto en busqueda - funcional,3
DEF-0067,alto,pagos,usabilidad,resuelto,3,4.0,Defecto en pagos - usabilidad,4
DEF-0068,bajo,pagos,usabilidad,abierto,1,,Defecto en pagos - usabilidad,2
DEF-0069,alto,usuarios,rendimiento,resuelto,3,4.0,Defecto en usuarios - rendimiento,4
DEF-0070,bajo,pagos,ui,en_progreso,5,,Defecto en pagos - ui,2
DEF-0071,bajo,busqueda,funcional,resuelto,2,5.0,Defecto en busqueda - funcional,2
DEF-0072,alto,busqueda,rendimiento,resuelto,2,4.0,Defecto en busqueda - rendimiento,4
DEF-0073,critico,reservas,funcional,resuelto,1,3.0,Defecto en reservas - funcional,5
DEF-0074,bajo,reservas,ui,en_progreso,5,,Defecto en reservas - ui,2
DEF-0075,bajo,usuarios,usabilidad,abierto,2,,Defecto en usuarios - usabilidad,2
DEF-0076,bajo,reservas,seguridad,resuelto,3,5.0,Defecto en reservas - seguridad,2
DEF-0077,bajo,reservas,rendimiento,resuelto,1,3.0,Defecto en reservas - rendimiento,2
DEF-0078,alto,busqueda,seguridad,resuelto,4,5.0,Defecto en busqueda - seguridad,4
DEF-0079,medio,pagos,ui,resuelto,2,4.0,Defecto en pagos - ui,3
DEF-0080,alto,pagos,rendimiento,en_progreso,3,,Defecto en pagos - rendimiento,4
DEF-0081,bajo,sesiones,seguridad,en_progreso,1,,Defecto en sesiones - seguridad,2
DEF-0082,bajo,busqueda,rendimiento,resuelto,3,4.0,Defecto en busqueda - rendimiento,2
DEF-0083,medio,busqueda,usabilidad,resuelto,3,5.0,Defecto en busqueda - usabilidad,3
DEF-0084,alto,sesiones,usabilidad,resuelto,5,5.0,Defecto en sesiones - usabilidad,4
DEF-0085,medio,pagos,funcional,abierto,5,,Defecto en pagos - funcional,3
DEF-0086,medio,sesiones,ui,resuelto,1,4.0,Defecto en sesiones - ui,3
DEF-0087,bajo,pagos,usabilidad,abierto,3,,Defecto en pagos - usabilidad,2
DEF-0088,bajo,sesiones,rendimiento,en_progreso,4,,Defecto en sesiones - rendimiento,2
DEF-0089,bajo,pagos,usabilidad,resuelto,4,5.0,Defecto en pagos - usabilidad,2
DEF-0090,medio,usuarios,ui,en_progreso,4,,Defecto en usuarios - ui,3
DEF-0091,alto,sesiones,funcional,resuelto,2,4.0,Defecto en sesiones - funcional,4
DEF-0092,bajo,sesiones,usabilidad,en_progreso,4,,Defecto en sesiones - usabilidad,2
DEF-0093,bajo,usuarios,ui,abierto,1,,Defecto en usuarios - ui,2
DEF-0094,medio,pagos,usabilidad,en_progreso,1,,Defecto en pagos - usabilidad,3
DEF-0095,bajo,reservas,rendimiento,resuelto,2,3.0,Defecto en reservas - rendimiento,2
DEF-0096,medio,busqueda,funcional,resuelto,4,5.0,Defecto en busqueda - funcional,3
DEF-0097,medio,busqueda,seguridad,resuelto,5,5.0,Defecto en busqueda - seguridad,3
DEF-0098,medio,usuarios,seguridad,resuelto,2,5.0,Defecto en usuarios - seguridad,3
DEF-0099,critico,busqueda,funcional,resuelto,2,3.0,Defecto en busqueda - funcional,5
DEF-0100,alto,sesiones,seguridad,resuelto,2,3.0,Defecto en sesiones - seguridad,4
DEF-0101,critico,usuarios,ui,resuelto,5,5.0,Defecto en usuarios - ui,5
DEF-0102,bajo,sesiones,rendimiento,en_progreso,5,,Defecto en sesiones - rendimiento,2
DEF-0103,medio,sesiones,seguridad,en_progreso,2,,Defecto en sesiones - seguridad,3
DEF-0104,medio,usuarios,seguridad,resuelto,2,5.0,Defecto en usuarios - seguridad,3
DEF-0105,bajo,pagos,usabilidad,abierto,3,,Defecto en pagos - usabilidad,2
DEF-0106,medio,usuarios,funcional,abierto,3,,Defecto en usuarios - funcional,3
DEF-0107,medio,pagos,rendimiento,abierto,2,,Defecto en pagos - rendimiento,3
DEF-0108,bajo,reservas,ui,abierto,2,,Defecto en reservas - ui,2
DEF-0109,medio,busqueda,seguridad,resuelto,5,5.0,Defecto en busqueda - seguridad,3
DEF-0110,alto,usuarios,funcional,resuelto,4,5.0,Defecto en usuarios - funcional,4
DEF-0111,medio,sesiones,funcional,en_progreso,4,,Defecto en sesiones - funcional,3
DEF-0112,alto,busqueda,rendimiento,resuelto,4,5.0,Defecto en busqueda - rendimiento,4
DEF-0113,bajo,sesiones,usabilidad,abierto,4,,Defecto en sesiones - usabilidad,2
DEF-0114,bajo,reservas,rendimiento,abierto,4,,Defecto en reservas - rendimiento,2
DEF-0115,bajo,pagos,seguridad,en_progreso,2,,Defecto en pagos - seguridad,2
DEF-0116,bajo,sesiones,usabilidad,resuelto,4,5.0,Defecto en sesiones - usabilidad,2
DEF-0117,bajo,sesiones,funcional,resuelto,4,5.0,Defecto en sesiones - funcional,2
DEF-0118,alto,usuarios,ui,resuelto,4,5.0,Defecto en usuarios - ui,4
DEF-0119,bajo,reservas,seguridad,en_progreso,3,,Defecto en reservas - seguridad,2
DEF-0120,medio,usuarios,rendimiento,en_progreso,1,,Defecto en usuarios - rendimiento,3
DEF-0121,bajo,sesiones,funcional,en_progreso,2,,Defecto en sesiones - funcional,2
DEF-0122,bajo,busqueda,funcional,abierto,2,,Defecto en busqueda - funcional,2
DEF-0123,medio,busqueda,usabilidad,resuelto,2,4.0,Defecto en busqueda - usabilidad,3
DEF-0124,alto,busqueda,usabilidad,en_progreso,3,,Defecto en busqueda - usabilidad,4
DEF-0125,medio,pagos,ui,abierto,2,,Defecto en pagos - ui,3
DEF-0126,medio,pagos,funcional,en_progreso,5,,Defecto en pagos - funcional,3
DEF-0127,bajo,usuarios,seguridad,abierto,1,,Defecto en usuarios - seguridad,2
DEF-0128,bajo,sesiones,ui,resuelto,3,5.0,Defecto en sesiones - ui,2
DEF-0129,critico,sesiones,funcional,resuelto,5,5.0,Defecto en sesiones - funcional,5
DEF-0130,medio,pagos,usabilidad,resuelto,3,4.0,Defecto en pagos - usabilidad,3
DEF-0131,medio,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,3
DEF-0132,medio,busqueda,seguridad,en_progreso,2,,Defecto en busqueda - seguridad,3
DEF-0133,alto,usuarios,ui,en_progreso,5,,Defecto en usuarios - ui,4
DEF-0134,medio,sesiones,seguridad,resuelto,5,5.0,Defecto en sesiones - seguridad,3
DEF-0135,bajo,pagos,ui,abierto,3,,Defecto en pagos - ui,2
DEF-0136,medio,usuarios,ui,en_progreso,3,,Defecto en usuarios - ui,3
DEF-0137,medio,busqueda,seguridad,abierto,4,,Defecto en busqueda - seguridad,3
DEF-0138,bajo,reservas,rendimiento,en_progreso,3,,Defecto en reservas - rendimiento,2
DEF-0139,medio,sesiones,rendimiento,abierto,1,,Defecto en sesiones - rendimiento,3
DEF-0140,bajo,reservas,seguridad,abierto,4,,Defecto en reservas - seguridad,2
DEF-0141,bajo,usuarios,seguridad,abierto,3,,Defecto en usuarios - seguridad,2
DEF-0142,medio,reservas,seguridad,en_progreso,5,,Defecto en reservas - seguridad,3
DEF-0143,medio,pagos,seguridad,en_progreso,4,,Defecto en pagos - seguridad,3
DEF-0144,medio,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,3
DEF-0145,medio,pagos,rendimiento,resuelto,2,4.0,Defecto en pagos - rendimiento,3
DEF-0146,critico,busqueda,usabilidad,abierto,2,,Defecto en busqueda - usabilidad,5
DEF-0147,bajo,reservas,seguridad,resuelto,5,5.0,Defecto en reservas - seguridad,2
DEF-0148,medio,sesiones,rendimiento,abierto,3,,Defecto en sesiones - rendimiento,3
DEF-0149,alto,reservas,rendimiento,resuelto,1,4.0,Defecto en reservas - rendimiento,4
DEF-0150,medio,sesiones,ui,resuelto,1,4.0,Defecto en sesiones - ui,3
DEF-0151,bajo,pagos,ui,en_progreso,1,,Defecto en pagos - ui,2
DEF-0152,medio,busqueda,usabilidad,resuelto,4,5.0,Defecto en busqueda - usabilidad,3
DEF-0153,alto,pagos,ui,en_progreso,4,,Defecto en pagos - ui,4
DEF-0154,medio,busqueda,funcional,resuelto,1,4.0,Defecto en busqueda - funcional,3
DEF-0155,bajo,busqueda,ui,resuelto,5,5.0,Defecto en busqueda - ui,2
DEF-0156,medio,busqueda,ui,resuelto,4,5.0,Defecto en busqueda - ui,3
DEF-0157,bajo,sesiones,usabilidad,resuelto,5,5.0,Defecto en sesiones - usabilidad,2
DEF-0158,bajo,usuarios,seguridad,resuelto,5,5.0,Defecto en usuarios - seguridad,2
DEF-0159,medio,pagos,usabilidad,abierto,2,,Defecto en pagos - usabilidad,3
DEF-0160,bajo,reservas,rendimiento,abierto,2,,Defecto en reservas - rendimiento,2
DEF-0161,medio,reservas,usabilidad,resuelto,1,3.0,Defecto en reservas - usabilidad,3
DEF-0162,bajo,usuarios,usabilidad,abierto,2,,Defecto en usuarios - usabilidad,2
DEF-0163,bajo,pagos,rendimiento,en_progreso,1,,Defecto en pagos - rendimiento,2
DEF-0164,medio,reservas,rendimiento,abierto,4,,Defecto en reservas - rendimiento,3
DEF-0165,alto,busqueda,usabilidad,resuelto,2,4.0,Defecto en busqueda - usabilidad,4
DEF-0166,bajo,reservas,funcional,resuelto,3,5.0,Defecto en reservas - funcional,2
DEF-0167,medio,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,3
DEF-0168,alto,pagos,seguridad,en_progreso,4,,Defecto en pagos - seguridad,4
DEF-0169,critico,busqueda,usabilidad,resuelto,4,5.0,Defecto en busqueda - usabilidad,5
DEF-0170,medio,pagos,usabilidad,resuelto,1,2.0,Defecto en pagos - usabilidad,3
DEF-0171,bajo,sesiones,usabilidad,en_progreso,5,,Defecto en sesiones - usabilidad,2
DEF-0172,critico,busqueda,ui,resuelto,4,5.0,Defecto en busqueda - ui,5
DEF-0173,medio,reservas,usabilidad,resuelto,4,5.0,Defecto en reservas - usabilidad,3
DEF-0174,medio,usuarios,rendimiento,resuelto,3,5.0,Defecto en usuarios - rendimiento,3
DEF-0175,bajo,busqueda,ui,en_progreso,3,,Defecto en busqueda - ui,2
DEF-0176,alto,usuarios,usabilidad,resuelto,1,3.0,Defecto en usuarios - usabilidad,4
DEF-0177,bajo,pagos,rendimiento,resuelto,4,5.0,Defecto en pagos - rendimiento,2
DEF-0178,medio,busqueda,usabilidad,resuelto,1,2.0,Defecto en busqueda - usabilidad,3
DEF-0179,bajo,sesiones,rendimiento,en_progreso,4,,Defecto en sesiones - rendimiento,2
DEF-0180,alto,busqueda,ui,resuelto,2,4.0,Defecto en busqueda - ui,4
DEF-0181,medio,usuarios,seguridad,resuelto,5,5.0,Defecto en usuarios - seguridad,3
DEF-0182,alto,reservas,rendimiento,resuelto,5,5.0,Defecto en reservas - rendimiento,4
DEF-0183,bajo,busqueda,ui,abierto,4,,Defecto en busqueda - ui,2
DEF-0184,bajo,busqueda,ui,en_progreso,5,,Defecto en busqueda - ui,2
DEF-0185,medio,pagos,seguridad,en_progreso,2,,Defecto en pagos - seguridad,3
DEF-0186,bajo,usuarios,usabilidad,resuelto,2,5.0,Defecto en usuarios - usabilidad,2
DEF-0187,bajo,sesiones,ui,en_progreso,4,,Defecto en sesiones - ui,2
DEF-0188,medio,pagos,usabilidad,resuelto,1,3.0,Defecto en pagos - usabilidad,3
DEF-0189,medio,pagos,usabilidad,en_progreso,2,,Defecto en pagos - usabilidad,3
DEF-0190,medio,usuarios,usabilidad,resuelto,3,5.0,Defecto en usuarios - usabilidad,3
DEF-0191,alto,sesiones,seguridad,resuelto,3,4.0,Defecto en sesiones - seguridad,4
DEF-0192,bajo,reservas,usabilidad,en_progreso,1,,Defecto en reservas - usabilidad,2
DEF-0193,bajo,pagos,seguridad,en_progreso,4,,Defecto en pagos - seguridad,2
DEF-0194,bajo,reservas,seguridad,abierto,5,,Defecto en reservas - seguridad,2
DEF-0195,medio,sesiones,rendimiento,en_progreso,1,,Defecto en sesiones - rendimiento,3
DEF-0196,medio,sesiones,seguridad,resuelto,2,4.0,Defecto en sesiones - seguridad,3
DEF-0197,bajo,reservas,funcional,en_progreso,3,,Defecto en reservas - funcional,2
DEF-0198,bajo,sesiones,seguridad,en_progreso,5,,Defecto en sesiones - seguridad,2
DEF-0199,bajo,usuarios,rendimiento,en_progreso,5,,Defecto en usuarios - rendimiento,2
DEF-0200,bajo,busqueda,usabilidad,resuelto,3,4.0,Defecto en busqueda - usabilidad,2
DEF-0201,bajo,busqueda,seguridad,abierto,4,,Defecto en busqueda - seguridad,2
DEF-0202,alto,reservas,rendimiento,abierto,3,,Defecto en reservas - rendimiento,4
DEF-0203,alto,busqueda,rendimiento,resuelto,4,5.0,Defecto en busqueda - rendimiento,4
DEF-0204,bajo,reservas,usabilidad,abierto,2,,Defecto en reservas - usabilidad,2
DEF-0205,bajo,reservas,funcional,en_progreso,5,,Defecto en reservas - funcional,2
DEF-0206,critico,reservas,seguridad,abierto,2,,Defecto en reservas - seguridad,5
DEF-0207,alto,usuarios,rendimiento,resuelto,1,3.0,Defecto en usuarios - rendimiento,4
DEF-0208,bajo,pagos,usabilidad,resuelto,4,5.0,Defecto en pagos - usabilidad,2
DEF-0209,critico,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,5
DEF-0210,alto,pagos,seguridad,abierto,4,,Defecto en pagos - seguridad,4
DEF-0211,medio,usuarios,funcional,resuelto,5,5.0,Defecto en usuarios - funcional,3
DEF-0212,bajo,sesiones,rendimiento,en_progreso,1,,Defecto en sesiones - rendimiento,2
DEF-0213,bajo,usuarios,rendimiento,resuelto,1,4.0,Defecto en usuarios - rendimiento,2
DEF-0214,medio,usuarios,rendimiento,abierto,5,,Defecto en usuarios - rendimiento,3
DEF-0215,bajo,pagos,ui,en_progreso,2,,Defecto en pagos - ui,2
DEF-0216,medio,busqueda,funcional,resuelto,4,5.0,Defecto en busqueda - funcional,3
DEF-0217,medio,sesiones,rendimiento,abierto,3,,Defecto en sesiones - rendimiento,3
DEF-0218,bajo,pagos,seguridad,resuelto,2,5.0,Defecto en pagos - seguridad,2
DEF-0219,bajo,pagos,usabilidad,en_progreso,2,,Defecto en pagos - usabilidad,2
DEF-0220,bajo,pagos,seguridad,en_progreso,3,,Defecto en pagos - seguridad,2
DEF-0221,bajo,busqueda,seguridad,abierto,2,,Defecto en busqueda - seguridad,2
DEF-0222,medio,usuarios,usabilidad,resuelto,4,5.0,Defecto en usuarios - usabilidad,3
DEF-0223,alto,pagos,usabilidad,resuelto,3,5.0,Defecto en pagos - usabilidad,4
DEF-0224,medio,pagos,usabilidad,resuelto,3,4.0,Defecto en pagos - usabilidad,3
DEF-0225,medio,reservas,seguridad,resuelto,5,5.0,Defecto en reservas - seguridad,3
DEF-0226,medio,sesiones,ui,en_progreso,3,,Defecto en sesiones - ui,3
DEF-0227,bajo,usuarios,funcional,resuelto,1,3.0,Defecto en usuarios - funcional,2
DEF-0228,medio,usuarios,funcional,resuelto,5,5.0,Defecto en usuarios - funcional,3
DEF-0229,bajo,usuarios,seguridad,en_progreso,5,,Defecto en usuarios - seguridad,2
DEF-0230,bajo,reservas,seguridad,en_progreso,5,,Defecto en reservas - seguridad,2
DEF-0231,bajo,usuarios,rendimiento,resuelto,3,4.0,Defecto en usuarios - rendimiento,2
DEF-0232,medio,usuarios,seguridad,en_progreso,1,,Defecto en usuarios - seguridad,3
DEF-0233,medio,pagos,usabilidad,en_progreso,1,,Defecto en pagos - usabilidad,3
DEF-0234,medio,usuarios,rendimiento,resuelto,1,3.0,Defecto en usuarios - rendimiento,3
DEF-0235,alto,busqueda,ui,resuelto,5,5.0,Defecto en busqueda - ui,4
DEF-0236,bajo,busqueda,rendimiento,resuelto,2,5.0,Defecto en busqueda - rendimiento,2
DEF-0237,medio,reservas,funcional,abierto,5,,Defecto en reservas - funcional,3
DEF-0238,critico,reservas,ui,resuelto,2,5.0,Defecto en reservas - ui,5
DEF-0239,bajo,busqueda,rendimiento,abierto,2,,Defecto en busqueda - rendimiento,2
DEF-0240,alto,sesiones,rendimiento,abierto,1,,Defecto en sesiones - rendimiento,4
DEF-0241,bajo,reservas,funcional,abierto,5,,Defecto en reservas - funcional,2
DEF-0242,bajo,pagos,funcional,resuelto,1,2.0,Defecto en pagos - funcional,2
DEF-0243,bajo,usuarios,usabilidad,resuelto,1,3.0,Defecto en usuarios - usabilidad,2
DEF-0244,medio,usuarios,rendimiento,abierto,4,,Defecto en usuarios - rendimiento,3
DEF-0245,critico,sesiones,ui,abierto,5,,Defecto en sesiones - ui,5
DEF-0246,bajo,pagos,seguridad,abierto,1,,Defecto en pagos - seguridad,2
DEF-0247,medio,usuarios,seguridad,resuelto,1,3.0,Defecto en usuarios - seguridad,3
DEF-0248,bajo,usuarios,funcional,en_progreso,5,,Defecto en usuarios - funcional,2
DEF-0249,bajo,reservas,funcional,resuelto,5,5.0,Defecto en reservas - funcional,2
